,label1,centroid0,centroid1,area,minoraxislength,majoraxislength,eccentricity,minintensity,maxintensity,meanintensity,feretdiametermax,bbox01,bbox11,bbox21,bbox31,meanintensityfrangi,minintensityfrangi,maxintensityfrangi,type,lblpred1,label2,lblpred2,bbox02,bbox12,bbox22,bbox32,lblpred,plate,well,ImageNumber
68,93,2608.8481012658226,4769.734177215189,790,23.47111432219928,43.66908873907679,0.8432786492547685,3499,8925,6710.655696202532,43.68065933568311,2588,4757,2630,4782,0.0093259687971952,0,0,RES,P,28.0,P,2574.0,4757.0,2630.0,4812.0,N,F3,1,1
69,94,2604.902077151335,4792.584569732938,337,16.681618548004025,27.01041600494868,0.7864927828348489,4254,9352,6700.86646884273,26.248809496813376,2597,4781,2616,4806,0.0089730842993787,0,0,RES,N,28.0,P,2574.0,4757.0,2630.0,4812.0,N,F3,1,1
70,95,2625.517142857143,4579.038095238096,1050,31.71859517497259,42.587075370432885,0.6672945405457049,1214,7827,4262.355238095238,43.68065933568311,2610,4558,2642,4600,0.0681146584675117,0,0,RES,P,29.0,P,2610.0,4558.0,2642.0,4600.0,P,F3,1,1
71,97,3037.9751552795037,1522.44099378882,161,11.678162377721891,18.460692717633737,0.7744818675822766,5830,9716,7570.664596273292,19.697715603592208,3033,1513,3044,1531,0.0121400713413104,0,0,RES,N,30.0,P,3033.0,1490.0,3082.0,1531.0,P,F3,1,1
72,98,3047.954545454545,1520.6103896103896,154,11.72893608219316,17.59933220902838,0.7455567817139337,6005,9555,7579.2532467532465,18.788294228055936,3043,1513,3054,1530,0.0120830017842882,0,0,RES,N,30.0,P,3033.0,1490.0,3082.0,1531.0,N,F3,1,1
73,99,3067.514285714285,1509.609022556391,665,27.05262343449937,40.43111310952381,0.7431686936071936,6286,9790,7863.455639097744,39.21734310225516,3053,1490,3082,1527,0.0055575819074185,0,0,RES,N,,,,,,,,F3,1,1
74,100,3269.141891891892,5051.334459459459,296,13.89709731049352,29.387473661127004,0.8811204692536292,4029,8865,7269.155405405405,31.89043743820395,3257,5038,3280,5062,0.0001068573687151,0,0,RES,N,31.0,N,3257.0,4905.0,3528.0,5062.0,N,F3,1,1
75,101,3289.1350649350647,5042.083116883117,385,21.346940234699296,25.203777548093083,0.5316345695553225,4210,8372,7169.0,29.5296461204668,3279,5029,3305,5055,0.001754359838128,0,0,RES,N,31.0,N,3257.0,4905.0,3528.0,5062.0,N,F3,1,1
76,102,3319.3191035218783,5025.691568836713,937,22.99439757047827,54.502774934101375,0.906645130840714,3535,8477,7107.107790821771,54.20332093147061,3295,5004,3341,5045,0.0104106631253957,0,0,RES,P,31.0,N,3257.0,4905.0,3528.0,5062.0,P,F3,1,1
77,104,3344.8,5009.8,105,6.791610002058732,20.74020101980308,0.9448646451279064,3785,8494,7017.190476190476,20.223748416156685,3342,5000,3349,5020,0.0194206544730035,0,0,RES,N,31.0,N,3257.0,4905.0,3528.0,5062.0,N,F3,1,1
78,109,3383.3843648208467,4990.124864277958,921,22.312316154565544,57.52925019063382,0.9217254572286367,4008,9424,7241.832790445168,58.872744118140105,3360,4973,3416,5008,0.0119870753843623,0,0,RES,P,31.0,N,3257.0,4905.0,3528.0,5062.0,P,F3,1,1
79,110,3367.836805555556,5015.719907407408,864,15.659224725989366,73.77352681221717,0.9772130630458234,8157,8500,8387.943287037036,71.69379331573968,3334,4997,3397,5034,0.0,0,0,RES,N,31.0,N,3257.0,4905.0,3528.0,5062.0,N,F3,1,1
80,112,3420.4473304473304,4970.5468975468975,693,20.481322430542384,48.20402239752556,0.905245811978678,3814,9350,7074.339105339105,48.25971404805462,3397,4955,3441,4984,0.0193123550788641,0,0,RES,P,31.0,N,3257.0,4905.0,3528.0,5062.0,P,F3,1,1
81,113,3482.32905982906,4936.834045584045,1404,16.768731358844224,118.74595707118752,0.9899789259140488,3719,9040,7318.073361823362,106.40018796975878,3438,4905,3528,4970,0.0131908904784703,0,0,RES,N,31.0,N,3257.0,4905.0,3528.0,5062.0,N,F3,1,1
